Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-18-52-40.847,915369.2673316558, 12, Download, 
11-16-2022-18-52-40.847,1.699827831514126e+06, 13, Download, 
11-16-2022-18-52-40.847,1.2759353841253899e+06, 14, Download, 
11-16-2022-18-52-41.847,327478.5679328645, 0, Upload, 
11-16-2022-18-52-41.847,638657.693005806, 1, Upload, 
11-16-2022-18-52-41.847,49127.51484660046, 2, Upload, 
11-16-2022-18-52-41.847,360268.4422084034, 3, Upload, 
11-16-2022-18-52-41.847,294765.08907960274, 4, Upload, 
11-16-2022-18-52-41.847,753288.5609812071, 5, Upload, 
11-16-2022-18-52-41.847,540402.663312605, 6, Upload, 
11-16-2022-18-52-41.847,49127.51484660046, 7, Upload, 
11-16-2022-18-52-41.847,900671.1055210084, 8, Upload, 
11-16-2022-18-52-41.847,769664.3992634072, 9, Upload, 
11-16-2022-18-52-41.847,671409.3695702063, 10, Upload, 
11-16-2022-18-52-41.847,540402.663312605, 11, Upload, 
11-16-2022-18-52-41.847,245637.5742330023, 12, Upload, 
11-16-2022-18-52-41.847,0, 13, Upload, 
11-16-2022-18-52-41.847,753288.5609812071, 14, Upload, 
11-16-2022-18-52-41.847,180134.2211042017, 15, Upload, 
11-16-2022-18-52-41.847,2.5986728214657817e+07, 0, Download, 
11-16-2022-18-52-41.847,4.977966981256542e+06, 1, Download, 
11-16-2022-18-52-41.847,1.7029432530826638e+06, 2, Download, 
11-16-2022-18-52-41.847,1.1954361946006112e+06, 3, Download, 
11-16-2022-18-52-41.847,1.0315338835124575e+06, 4, Download, 
11-16-2022-18-52-41.847,753288.5609812071, 5, Download, 
11-16-2022-18-52-41.847,294765.08907960274, 6, Download, 
11-16-2022-18-52-41.847,605906.0164414056, 7, Download, 
11-16-2022-18-52-41.847,786040.2375456074, 8, Download, 
11-16-2022-18-52-41.847,2.0681244467757273e+07, 9, Download, 
11-16-2022-18-52-41.847,1.08080532662521e+06, 10, Download, 
11-16-2022-18-52-41.847,9.530450023708185e+06, 11, Download, 
11-16-2022-18-52-41.847,851327.6982751797, 12, Download, 
11-16-2022-18-52-41.847,1.5883123851072628e+06, 13, Download, 
11-16-2022-18-52-41.847,1.2445637094472116e+06, 14, Download, 
11-16-2022-18-52-41.847,1.8667736000377415e+06, 15, Download, 
11-16-2022-18-52-42.850,2.5189225300502043e+07, 0, Download, 
11-16-2022-18-52-42.850,4.753574865017125e+06, 1, Download, 
11-16-2022-18-52-42.850,1.5192984380375012e+06, 2, Download, 
11-16-2022-18-52-42.850,1.1270778388780593e+06, 3, Download, 
11-16-2022-18-52-42.850,1.0127938339124843e+06, 4, Download, 
11-16-2022-18-52-42.850,506432.8126791671, 5, Download, 
11-16-2022-18-52-42.850,212375.05047836038, 6, Download, 
11-16-2022-18-52-42.850,539034.1059222957, 7, Download, 
11-16-2022-18-52-42.850,637125.1514350811, 8, Download, 
11-16-2022-18-52-42.850,8.363735348811703e+06, 9, Download, 
11-16-2022-18-52-42.850,898509.8289469093, 10, Download, 
11-16-2022-18-52-42.850,1.2136830507376073e+07, 11, Download, 
11-16-2022-18-52-42.850,767817.4901909952, 12, Download, 
11-16-2022-18-52-42.850,1.4538804772136942e+06, 13, Download, 
11-16-2022-18-52-42.850,930967.5392983383, 14, Download, 
11-16-2022-18-52-42.850,3.218083467526835e+06, 15, Download, 
11-16-2022-18-52-42.850,963855.9983248663, 16, Download, 
11-16-2022-18-52-42.850,865836.7442579308, 0, Upload, 
11-16-2022-18-52-42.850,196038.50813387113, 1, Upload, 
11-16-2022-18-52-42.850,98019.25406693557, 2, Upload, 
11-16-2022-18-52-42.850,539105.8973681455, 3, Upload, 
11-16-2022-18-52-42.850,212375.05047836038, 4, Upload, 
11-16-2022-18-52-42.850,735144.4055020167, 5, Upload, 
11-16-2022-18-52-42.850,718807.8631575274, 6, Upload, 
11-16-2022-18-52-42.850,0, 7, Upload, 
11-16-2022-18-52-42.850,359403.9315787637, 8, Upload, 
11-16-2022-18-52-42.850,1.192567591147716e+06, 9, Upload, 
11-16-2022-18-52-42.850,718807.8631575274, 10, Upload, 
11-16-2022-18-52-42.850,702471.3208130382, 11, Upload, 
11-16-2022-18-52-42.850,343067.38923427445, 12, Upload, 
11-16-2022-18-52-42.850,0, 13, Upload, 
11-16-2022-18-52-42.850,588115.5244016134, 14, Upload, 
11-16-2022-18-52-42.850,147028.88110040335, 15, Upload, 
11-16-2022-18-52-42.850,882173.28660242, 16, Upload, 
11-16-2022-18-52-43.851,2.7460258172578085e+07, 0, Download, 
11-16-2022-18-52-43.851,4.044532475869846e+06, 1, Download, 
11-16-2022-18-52-43.851,1.2936874744690487e+06, 2, Download, 
11-16-2022-18-52-43.851,949723.9034072219, 3, Download, 
11-16-2022-18-52-43.851,949795.8673317066, 4, Download, 
11-16-2022-18-52-43.851,671191.5316851662, 5, Download, 
11-16-2022-18-52-43.851,262012.65305702251, 6, Download, 
11-16-2022-18-52-43.851,458522.1428497894, 7, Download, 
11-16-2022-18-52-43.851,540185.2051566549, 8, Download, 
11-16-2022-18-52-43.851,1.5065007911533948e+06, 9, Download, 
11-16-2022-18-52-43.851,867916.9132513871, 10, Download, 
11-16-2022-18-52-43.851,1.997709748103276e+07, 11, Download, 
11-16-2022-18-52-43.851,949723.9034072219, 12, Download, 
11-16-2022-18-52-43.851,1.4410695918136237e+06, 13, Download, 
11-16-2022-18-52-43.851,1.0807302299357331e+06, 14, Download, 
11-16-2022-18-52-43.851,2.8819232918537934e+06, 15, Download, 
11-16-2022-18-52-43.851,1.113481811567861e+06, 16, Download, 
11-16-2022-18-52-43.851,0, 17, Download, 
11-16-2022-18-52-43.851,786037.9591710675, 0, Upload, 
11-16-2022-18-52-43.851,0, 1, Upload, 
11-16-2022-18-52-43.851,98254.74489638343, 2, Upload, 
11-16-2022-18-52-43.851,491273.7244819172, 3, Upload, 
11-16-2022-18-52-43.851,1.0971779846762817e+06, 4, Upload, 
11-16-2022-18-52-43.851,556776.8877461728, 5, Upload, 
11-16-2022-18-52-43.851,1.0480506122280901e+06, 6, Upload, 
11-16-2022-18-52-43.851,98254.74489638343, 7, Upload, 
11-16-2022-18-52-43.851,573152.6785622367, 8, Upload, 
11-16-2022-18-52-43.851,917044.2856995788, 9, Upload, 
11-16-2022-18-52-43.851,393018.9795855337, 10, Upload, 
11-16-2022-18-52-43.851,867916.9132513871, 11, Upload, 
11-16-2022-18-52-43.851,343891.60713734204, 12, Upload, 
11-16-2022-18-52-43.851,98254.74489638343, 13, Upload, 
11-16-2022-18-52-43.851,540401.096930109, 14, Upload, 
11-16-2022-18-52-43.851,196509.48979276686, 15, Upload, 
11-16-2022-18-52-43.851,442146.3520337255, 16, Upload, 
11-16-2022-18-52-43.851,294764.2346891503, 17, Upload, 
11-16-2022-18-52-44.852,982016.0518627227, 0, Upload, 
11-16-2022-18-52-44.852,965649.1176650107, 1, Upload, 
11-16-2022-18-52-44.852,49100.80259313614, 2, Upload, 
11-16-2022-18-52-44.852,278237.8813611048, 3, Upload, 
11-16-2022-18-52-44.852,883814.4466764505, 4, Upload, 
11-16-2022-18-52-44.852,621943.4995130578, 5, Upload, 
11-16-2022-18-52-44.852,769245.9072924661, 6, Upload, 
11-16-2022-18-52-44.852,147302.40777940842, 7, Upload, 
11-16-2022-18-52-44.852,1.0474837886535709e+06, 8, Upload, 
11-16-2022-18-52-44.852,818346.7098856024, 9, Upload, 
11-16-2022-18-52-44.852,1.2929878016192517e+06, 10, Upload, 
11-16-2022-18-52-44.852,572842.6969199217, 11, Upload, 
11-16-2022-18-52-44.852,458274.1575359373, 12, Upload, 
11-16-2022-18-52-44.852,491008.02593136136, 13, Upload, 
11-16-2022-18-52-44.852,671044.3021061938, 14, Upload, 
11-16-2022-18-52-44.852,310971.7497565289, 15, Upload, 
11-16-2022-18-52-44.852,1.129318459642131e+06, 16, Upload, 
11-16-2022-18-52-44.852,441907.2233382253, 17, Upload, 
11-16-2022-18-52-44.852,736512.038897042, 18, Upload, 
11-16-2022-18-52-44.852,2.255212489936743e+07, 0, Download, 
11-16-2022-18-52-44.852,3.551624720903514e+06, 1, Download, 
11-16-2022-18-52-44.852,1.2602539332238275e+06, 2, Download, 
11-16-2022-18-52-44.852,867447.5124787384, 3, Download, 
11-16-2022-18-52-44.852,1.1784192622352673e+06, 4, Download, 
11-16-2022-18-52-44.852,605576.5653153458, 5, Download, 
11-16-2022-18-52-44.852,343633.6931481544, 6, Download, 
11-16-2022-18-52-44.852,409173.3549428012, 7, Download, 
