Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-14-52-32.753,262051.5220178799, 0, Upload, 
11-28-2022-14-52-32.753,49134.66037835248, 1, Upload, 
11-28-2022-14-52-32.753,655128.8050446997, 2, Upload, 
11-28-2022-14-52-32.753,245673.3018917624, 3, Upload, 
11-28-2022-14-52-32.753,851667.4465581096, 4, Upload, 
11-28-2022-14-52-32.753,147403.98113505743, 5, Upload, 
11-28-2022-14-52-32.753,622372.3647924648, 6, Upload, 
11-28-2022-14-52-32.753,196538.6415134099, 7, Upload, 
11-28-2022-14-52-32.753,671507.0251708173, 8, Upload, 
11-28-2022-14-52-32.753,262051.5220178799, 9, Upload, 
11-28-2022-14-52-32.753,196538.6415134099, 10, Upload, 
11-28-2022-14-52-32.753,147403.98113505743, 11, Upload, 
11-28-2022-14-52-32.753,98269.32075670495, 12, Upload, 
11-28-2022-14-52-32.753,0, 13, Upload, 
11-28-2022-14-52-32.753,753398.1258014047, 14, Upload, 
11-28-2022-14-52-32.753,294807.96227011486, 15, Upload, 
11-28-2022-14-52-32.753,147403.98113505743, 16, Upload, 
11-28-2022-14-52-32.753,491346.6037835248, 17, Upload, 
11-28-2022-14-52-32.753,327564.40252234985, 18, Upload, 
11-28-2022-14-52-32.753,524103.0440357598, 19, Upload, 
11-28-2022-14-52-32.753,917180.3270625796, 20, Upload, 
11-28-2022-14-52-32.753,196538.6415134099, 21, Upload, 
11-28-2022-14-52-32.753,49134.66037835248, 22, Upload, 
11-28-2022-14-52-32.753,409455.50315293734, 23, Upload, 
11-28-2022-14-52-32.753,196538.6415134099, 24, Upload, 
11-28-2022-14-52-32.753,851873.6124037456, 25, Upload, 
11-28-2022-14-52-32.753,0, 26, Upload, 
11-28-2022-14-52-32.753,49146.55456175455, 27, Upload, 
11-28-2022-14-52-32.753,0, 28, Upload, 
11-28-2022-14-52-32.753,98293.1091235091, 29, Upload, 
11-28-2022-14-52-32.753,524229.9153253819, 30, Upload, 
11-28-2022-14-52-32.753,491465.54561754555, 31, Upload, 
11-28-2022-14-52-32.753,393172.4364940364, 32, Upload, 
11-28-2022-14-52-32.753,245732.77280877277, 33, Upload, 
11-28-2022-14-52-32.753,131057.47883134548, 34, Upload, 
11-28-2022-14-52-32.753,393172.4364940364, 35, Upload, 
11-28-2022-14-52-32.753,49146.55456175455, 36, Upload, 
11-28-2022-14-52-32.753,49146.55456175455, 37, Upload, 
11-28-2022-14-52-32.753,1.064842015504682e+06, 38, Upload, 
11-28-2022-14-52-32.753,49146.55456175455, 39, Upload, 
11-28-2022-14-52-32.753,1.5066523024024821e+06, 0, Download, 
11-28-2022-14-52-32.753,1.4902740822763648e+06, 1, Download, 
11-28-2022-14-52-32.753,1.5070170225139053e+06, 2, Download, 
11-28-2022-14-52-32.753,704433.9487184819, 3, Download, 
11-28-2022-14-52-32.753,1.6546006702457366e+06, 4, Download, 
11-28-2022-14-52-32.753,1.6709828550996548e+06, 5, Download, 
11-28-2022-14-52-32.753,917258.3677728507, 6, Download, 
11-28-2022-14-52-32.753,2.3915830126022035e+06, 7, Download, 
11-28-2022-14-52-32.753,2.6046953997497074e+06, 8, Download, 
11-28-2022-14-52-32.753,638905.2093028092, 9, Download, 
11-28-2022-14-52-32.753,2.1460662158632823e+06, 10, Download, 
11-28-2022-14-52-32.753,1.851186888492755e+06, 11, Download, 
11-28-2022-14-52-32.753,1.3921257524666267e+06, 12, Download, 
11-28-2022-14-52-32.753,1.5233992073678235e+06, 13, Download, 
11-28-2022-14-52-32.753,1.5399253762683093e+06, 14, Download, 
11-28-2022-14-52-32.753,2.6536979702648944e+06, 15, Download, 
