Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-16-08-51.642,507178.4305372734, 11, Upload, 
11-28-2022-16-08-51.642,1.1288810228087697e+06, 12, Upload, 
11-28-2022-16-08-51.642,703505.5649387985, 13, Upload, 
11-28-2022-16-08-51.642,359933.0797361295, 14, Upload, 
11-28-2022-16-08-51.642,736226.7540057194, 15, Upload, 
11-28-2022-16-08-51.642,621702.5922714964, 16, Upload, 
11-28-2022-16-08-51.642,687144.9704053382, 17, Upload, 
11-28-2022-16-08-51.642,605341.997738036, 18, Upload, 
11-28-2022-16-08-51.641,1.1180390342651425e+07, 0, Download, 
11-28-2022-16-08-51.641,1.0470061529975218e+06, 1, Download, 
11-28-2022-16-08-51.641,1.6358437619142057e+06, 2, Download, 
11-28-2022-16-08-51.641,539899.6196041943, 3, Download, 
11-28-2022-16-08-51.641,229048.32346844606, 4, Download, 
11-28-2022-16-08-51.641,474457.2414703525, 5, Download, 
11-28-2022-16-08-51.641,670784.3758718778, 6, Download, 
11-28-2022-16-08-51.641,8.654251228192948e+06, 7, Download, 
11-28-2022-16-08-51.641,1.9795600414047665e+06, 8, Download, 
11-28-2022-16-08-51.641,196327.1344015252, 9, Download, 
11-28-2022-16-08-51.641,1.7833048041471872e+06, 10, Download, 
11-28-2022-16-08-51.641,376221.7771256441, 11, Download, 
11-28-2022-16-08-51.641,1.423227930123166e+06, 12, Download, 
11-28-2022-16-08-51.641,2.134913792328695e+07, 13, Download, 
11-28-2022-16-08-51.641,392654.2688030504, 14, Download, 
11-28-2022-16-08-51.641,3.419148566061393e+06, 15, Download, 
11-28-2022-16-08-51.641,4.777006015194663e+06, 16, Download, 
11-28-2022-16-08-51.641,4.0735004502558643e+06, 17, Download, 
11-28-2022-16-08-51.641,1.4232998272671117e+06, 18, Download, 
11-28-2022-16-08-52.641,1.005628870442007e+07, 0, Download, 
11-28-2022-16-08-52.641,1.3275395657315166e+06, 1, Download, 
11-28-2022-16-08-52.641,1.3602462968099834e+06, 2, Download, 
