Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-41-29.628,3.6679822996766577e+06, 9, Download, 
11-26-2022-11-41-29.628,2.6529974372693743e+06, 10, Download, 
11-26-2022-11-41-29.628,1.3756283008063422e+06, 11, Download, 
11-26-2022-11-41-29.628,2.3908290646977783e+06, 12, Download, 
11-26-2022-11-41-29.628,2.3090903620677884e+06, 13, Download, 
11-26-2022-11-41-29.628,2.5382178112127436e+06, 14, Download, 
11-26-2022-11-41-29.628,1.801418012960686e+06, 15, Download, 
11-26-2022-11-41-29.628,3.0950197424915014e+06, 16, Download, 
11-26-2022-11-41-29.628,572890.5900237722, 17, Download, 
11-26-2022-11-41-29.628,1.2740002736751221e+07, 18, Download, 
11-26-2022-11-41-29.628,1.0153446982142049e+06, 19, Download, 
11-26-2022-11-41-29.629,524043.2717920731, 0, Upload, 
11-26-2022-11-41-29.629,1.0644628958276485e+06, 1, Upload, 
11-26-2022-11-41-29.629,1.097215600314653e+06, 2, Upload, 
11-26-2022-11-41-29.629,1.162721009288662e+06, 3, Upload, 
11-26-2022-11-41-29.629,0, 4, Upload, 
11-26-2022-11-41-29.629,655054.0897400914, 5, Upload, 
11-26-2022-11-41-29.629,442161.51057456166, 6, Upload, 
11-26-2022-11-41-29.629,196516.22692202742, 7, Upload, 
11-26-2022-11-41-29.629,573172.32852258, 8, Upload, 
11-26-2022-11-41-29.629,442161.51057456166, 9, Upload, 
11-26-2022-11-41-29.629,49129.056730506854, 10, Upload, 
11-26-2022-11-41-29.629,49129.056730506854, 11, Upload, 
11-26-2022-11-41-29.629,98258.11346101371, 12, Upload, 
11-26-2022-11-41-29.629,376656.10160055256, 13, Upload, 
11-26-2022-11-41-29.629,1.2773554749931782e+06, 14, Upload, 
11-26-2022-11-41-29.629,867946.668905621, 15, Upload, 
11-26-2022-11-41-29.629,786064.9076881097, 16, Upload, 
11-26-2022-11-41-29.629,1.162721009288662e+06, 17, Upload, 
11-26-2022-11-41-29.629,786064.9076881097, 18, Upload, 
11-26-2022-11-41-29.629,1.0153338390971416e+06, 19, Upload, 
11-26-2022-11-41-30.629,4.487661384539436e+06, 0, Download, 
11-26-2022-11-41-30.629,1.7851647891331327e+06, 1, Download, 
11-26-2022-11-41-30.629,2.276482000491469e+06, 2, Download, 
11-26-2022-11-41-30.629,2.4075910992493797e+06, 3, Download, 
11-26-2022-11-41-30.629,6.518592750609788e+06, 4, Download, 
11-26-2022-11-41-30.629,5.953639141260597e+06, 5, Download, 
11-26-2022-11-41-30.629,4.569631564077643e+06, 6, Download, 
