Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-30-45.315,834079.2376473604, 14, Upload, 
11-26-2022-11-30-45.315,490634.8456749179, 15, Upload, 
11-26-2022-11-30-45.315,1.1300237241991723e+07, 0, Download, 
11-26-2022-11-30-45.315,9.910105179246122e+06, 1, Download, 
11-26-2022-11-30-45.315,5.49475091986547e+06, 2, Download, 
11-26-2022-11-30-45.315,4.464489614286865e+06, 3, Download, 
11-26-2022-11-30-45.315,1.7661417037522607e+06, 4, Download, 
11-26-2022-11-30-45.315,2.6654951801454998e+06, 5, Download, 
11-26-2022-11-30-45.315,1.0955355443244842e+06, 6, Download, 
11-26-2022-11-30-45.315,7.653400500157665e+06, 7, Download, 
11-26-2022-11-30-45.315,4.628106433183893e+06, 8, Download, 
11-26-2022-11-30-45.315,2.387612508273823e+06, 9, Download, 
11-26-2022-11-30-45.315,1.455478171830201e+06, 10, Download, 
11-26-2022-11-30-45.315,3.9575002737561166e+06, 11, Download, 
11-26-2022-11-30-45.315,1.259296103898956e+06, 12, Download, 
11-26-2022-11-30-45.315,3.074645032896152e+06, 13, Download, 
11-26-2022-11-30-45.315,4.333653655440221e+06, 14, Download, 
11-26-2022-11-30-45.315,899497.2170706828, 15, Download, 
11-26-2022-11-30-46.315,507743.8068289455, 0, Upload, 
11-26-2022-11-30-46.315,1.1137606085280096e+06, 1, Upload, 
11-26-2022-11-30-46.315,556880.3042640048, 2, Upload, 
11-26-2022-11-30-46.315,737047.4615258886, 3, Upload, 
11-26-2022-11-30-46.315,687910.9640908294, 4, Upload, 
11-26-2022-11-30-46.315,376713.14700212085, 5, Upload, 
11-26-2022-11-30-46.315,769805.1264825948, 6, Upload, 
11-26-2022-11-30-46.315,442228.4769155332, 7, Upload, 
11-26-2022-11-30-46.315,638774.4666557702, 8, Upload, 
11-26-2022-11-30-46.315,425849.64443718013, 9, Upload, 
11-26-2022-11-30-46.315,262061.3196536493, 10, Upload, 
11-26-2022-11-30-46.315,212924.82221859007, 11, Upload, 
11-26-2022-11-30-46.315,589637.9692207109, 12, Upload, 
11-26-2022-11-30-46.315,769805.1264825948, 13, Upload, 
11-26-2022-11-30-46.315,671532.1316124763, 14, Upload, 
11-26-2022-11-30-46.315,622395.634177417, 15, Upload, 
11-26-2022-11-30-46.315,589637.9692207109, 16, Upload, 
11-26-2022-11-30-46.315,9.482696209345952e+06, 0, Download, 
11-26-2022-11-30-46.315,9.548211539259365e+06, 1, Download, 
11-26-2022-11-30-46.315,4.815232794053476e+06, 2, Download, 
11-26-2022-11-30-46.315,3.6358129010297256e+06, 3, Download, 
11-26-2022-11-30-46.315,1.736084265414262e+06, 4, Download, 
11-26-2022-11-30-46.315,2.4239232522139265e+06, 5, Download, 
11-26-2022-11-30-46.315,1.1301394410063627e+06, 6, Download, 
11-26-2022-11-30-46.315,6.845848134913435e+06, 7, Download, 
11-26-2022-11-30-46.315,3.996075238262329e+06, 8, Download, 
11-26-2022-11-30-46.315,2.0635889376901588e+06, 9, Download, 
11-26-2022-11-30-46.315,1.1628971059630688e+06, 10, Download, 
11-26-2022-11-30-46.315,3.570369548407478e+06, 11, Download, 
11-26-2022-11-30-46.315,1.2775489333115404e+06, 12, Download, 
11-26-2022-11-30-46.315,3.291641487110817e+06, 13, Download, 
11-26-2022-11-30-46.315,4.1598635630458593e+06, 14, Download, 
11-26-2022-11-30-46.315,6.878677777161306e+06, 15, Download, 
11-26-2022-11-30-46.315,409470.811958827, 16, Download, 
11-26-2022-11-30-47.318,882756.1544966947, 0, Upload, 
11-26-2022-11-30-47.318,343294.06008204794, 1, Upload, 
11-26-2022-11-30-47.318,670240.7839697127, 2, Upload, 
11-26-2022-11-30-47.318,670240.7839697127, 3, Upload, 
11-26-2022-11-30-47.318,882756.1544966947, 4, Upload, 
11-26-2022-11-30-47.318,997187.5078573774, 5, Upload, 
11-26-2022-11-30-47.318,621198.7753865629, 6, Upload, 
11-26-2022-11-30-47.318,359641.39627643116, 7, Upload, 
